RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
3550997964,1,1,4000,3000,600,600,3000,2598,395,7,0,0,2.18333
3550997964,1,1,6000,3000,600,600,3000,1374,114,0,1512,0,2.15
3550997964,1,1,8000,3000,600,600,3000,792,32,0,2176,0,2.45
3550997964,1,1,10000,3000,600,600,3000,509,11,0,2480,0,2.98333
3550997964,1,2,3000,3000,600,600,2998,2286,440,272,0,0,2.33333
3550997964,1,2,2000,3000,600,600,2998,2286,440,272,0,0,2.51667
3550997964,1,2,4000,3000,600,600,2998,2286,440,272,0,0,2.83333
3550997964,1,2,6000,3000,600,600,2998,2286,440,272,0,0,3.21667
3550997964,1,2,8000,3000,600,600,2998,2286,440,272,0,0,2.58333
3550997964,1,2,10000,3000,600,600,3000,699,20,0,2281,0,2.38333
3550997964,1,3,3000,3000,600,600,2999,2712,235,52,0,0,2.5
3550997964,1,3,2000,3000,600,600,2999,2712,235,52,0,0,2.26667
3550997964,1,3,4000,3000,600,600,2999,2712,235,52,0,0,2.38333
3550997964,1,3,6000,3000,600,600,2999,2075,172,39,713,0,2.38333
3550997964,1,3,8000,3000,600,600,3000,1036,69,19,1876,0,2.48333
3550997964,1,3,10000,3000,600,600,3000,509,11,0,2480,0,2.4
3550997964,1,4,3000,3000,600,600,3000,2641,352,7,0,0,2.46667
3550997964,1,4,2000,3000,600,600,3000,2598,395,7,0,0,2.28333
3550997964,1,4,4000,3000,600,600,3000,2708,274,18,0,0,2.26667
3550997964,1,4,6000,3000,600,600,2998,2409,396,193,0,0,2.48333
3550997964,1,4,8000,3000,600,600,2998,1304,1076,618,0,0,2.38333
3550997964,1,4,10000,3000,600,600,2999,861,1117,580,441,0,2.28333
3550997964,1,5,3000,3000,600,600,2999,2716,229,54,0,0,2.16667
3550997964,1,5,2000,3000,600,600,2999,2712,235,52,0,0,2.21667
3550997964,1,5,4000,3000,600,600,2999,2696,236,67,0,0,2.16667
3550997964,1,5,6000,3000,600,600,2999,2044,488,271,196,0,2.33333
3550997964,1,5,8000,3000,600,600,2998,978,967,637,416,0,2.26667
3550997964,1,5,10000,3000,600,600,2996,527,1049,611,809,0,2.28333
3793080295,1,1,3000,3000,600,600,3000,2608,387,5,0,0,2.26667
3793080295,1,1,2000,3000,600,600,3000,2608,387,5,0,0,2.25
3793080295,1,1,4000,3000,600,600,3000,2608,387,5,0,0,2.15
3793080295,1,1,6000,3000,600,600,3000,1349,111,1,1539,0,2.26667
3793080295,1,1,8000,3000,600,600,3000,790,33,0,2177,0,2.25
3793080295,1,1,10000,3000,600,600,3000,509,17,0,2474,0,2.2
3793080295,1,2,3000,3000,600,600,2997,2219,494,284,0,0,2.15
3793080295,1,2,2000,3000,600,600,2997,2219,494,284,0,0,2.23333
3793080295,1,2,4000,3000,600,600,2997,2219,494,284,0,0,2.15
3793080295,1,2,6000,3000,600,600,2997,2219,494,284,0,0,2.26667
3793080295,1,2,8000,3000,600,600,2997,2219,494,284,0,0,2.15
3793080295,1,2,10000,3000,600,600,3000,687,22,0,2291,0,2.11667
3793080295,1,3,3000,3000,600,600,2999,2716,233,50,0,0,2.15
