RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
308154789,1,1,3000,4000,600,600,4000,3318,672,10,0,0,2.61667
308154789,1,1,3000,5000,600,600,5000,3994,980,26,0,0,4.75
308154789,1,1,3000,6000,600,600,6000,4552,1408,40,0,0,7.15
308154789,1,2,3000,3000,600,600,2998,2246,467,285,0,0,1.38333
308154789,1,2,3000,1000,600,600,999,910,76,13,0,0,0.0833333
308154789,1,2,3000,2000,600,600,1998,1709,229,60,0,0,0.5
308154789,1,2,3000,4000,600,600,3995,2723,710,562,0,0,2.81667
308154789,1,2,3000,5000,600,600,4997,2968,1037,992,0,0,4.68333
308154789,1,2,3000,6000,600,600,5997,3200,1310,1487,0,0,7.33333
308154789,1,3,3000,3000,600,600,3000,2706,242,52,0,0,1.38333
308154789,1,3,3000,1000,600,600,1000,973,26,1,0,0,0.0833333
308154789,1,3,3000,2000,600,600,1999,1885,103,11,0,0,0.5
308154789,1,3,3000,4000,600,600,4000,3484,405,111,0,0,2.75
308154789,1,3,3000,5000,600,600,4999,4207,545,247,0,0,4.73333
308154789,1,3,3000,6000,600,600,5998,4845,789,364,0,0,7.21667
308154789,1,4,3000,3000,600,600,3000,2651,342,7,0,0,1.4
308154789,1,4,3000,1000,600,600,1000,972,28,0,0,0,0.0833333
308154789,1,4,3000,2000,600,600,2000,1850,148,2,0,0,0.5
308154789,1,4,3000,4000,600,600,4000,3373,617,10,0,0,2.81667
308154789,1,4,3000,5000,600,600,5000,4086,885,29,0,0,4.78333
308154789,1,4,3000,6000,600,600,6000,4655,1299,46,0,0,7.25
308154789,1,5,3000,3000,600,600,3000,2714,233,53,0,0,1.4
308154789,1,5,3000,1000,600,600,1000,973,26,1,0,0,0.0833333
308154789,1,5,3000,2000,600,600,1999,1881,106,12,0,0,0.533333
308154789,1,5,3000,4000,600,600,4000,3484,402,114,0,0,3.03333
